filename,artist,album,trackNumber,title
01 - burning times.flac,Iced Earth,Alive in Athens (Disc 1),1,Burning Times
02 - vengeance is mine.flac,Iced Earth,Alive in Athens (Disc 1),2,Vengeance Is Mine
03 - pure evil.flac,Iced Earth,Alive in Athens (Disc 1),3,Pure Evil
04 - my own savior.flac,Iced Earth,Alive in Athens (Disc 1),4,My Own Savior
05 - melancholy holy martyr.flac,Iced Earth,Alive in Athens (Disc 1),5,Melancholy Holy Martyr
06 - dantes inferno.flac,Iced Earth,Alive in Athens (Disc 1),6,Dantes Inferno
07 - the hunter.flac,Iced Earth,Alive in Athens (Disc 1),7,The Hunter
08 - travel in stygian.flac,Iced Earth,Alive in Athens (Disc 1),8,Travel in Stygian
09 - slave to the dark.flac,Iced Earth,Alive in Athens (Disc 1),9,Slave to the Dark
10 - a question of heaven.flac,Iced Earth,Alive in Athens (Disc 1),10,A Question of Heaven
