filename,artist,album,trackNumber,title
01 - creatures of the night.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),1,Creatures of the Night
02 - number of the beast.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),2,Number of the Beast
03 - highway to hell.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),3,Highway to Hell
04 - burnin for you.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),4,Burnin for You
05 - god of thunder.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),5,God of Thunder
06 - screaming for vengeance.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),6,Screaming for Vengeance
07 - dead babies.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),7,Dead Babies
08 - cities on flame.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),8,Cities on Flame
09 - its a long way to the top if you wanna rock n roll.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),9,Its a Long Way to the Top If You Wanna Rock n Roll
10 - black sabbath.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),10,Black Sabbath
11 - hallowed be thy name.flac,Iced Earth,Dark Genesis - Tribute to the Gods (Disc 5),11,Hallowed Be Thy Name
