filename,artist,album,trackNumber,title
01 - enter the realm.flac,Iced Earth,Days of Purgatory (Disc 1),1,Enter the Realm
02 - colors.flac,Iced Earth,Days of Purgatory (Disc 1),2,Colors
03 - angels holocaust.flac,Iced Earth,Days of Purgatory (Disc 1),3,Angels Holocaust
04 - stormrider.flac,Iced Earth,Days of Purgatory (Disc 1),4,Stormrider
05 - winter nights.flac,Iced Earth,Days of Purgatory (Disc 1),5,Winter Nights
06 - nightmares.flac,Iced Earth,Days of Purgatory (Disc 1),6,Nightmares
07 - before the vision.flac,Iced Earth,Days of Purgatory (Disc 1),7,Before the Vision
08 - pure evil.flac,Iced Earth,Days of Purgatory (Disc 1),8,Pure Evil
09 - solitude.flac,Iced Earth,Days of Purgatory (Disc 1),9,Solitude
10 - the funeral.flac,Iced Earth,Days of Purgatory (Disc 1),10,The Funeral
11 - when the night falls.flac,Iced Earth,Days of Purgatory (Disc 1),11,When the Night Falls
