filename,artist,album,trackNumber,title
01 - overture.flac,Iced Earth,Framing Armageddon,1,Overture
02 - something wicked part 1.flac,Iced Earth,Framing Armageddon,2,Something Wicked Part 1
03 - invasion.flac,Iced Earth,Framing Armageddon,3,Invasion
04 - motivation of man.flac,Iced Earth,Framing Armageddon,4,Motivation of Man
05 - setian massacre.flac,Iced Earth,Framing Armageddon,5,Setian Massacre
06 - a charge to keep.flac,Iced Earth,Framing Armageddon,6,A Charge to Keep
07 - reflections.flac,Iced Earth,Framing Armageddon,7,Reflections
08 - ten thousand strong.flac,Iced Earth,Framing Armageddon,8,Ten Thousand Strong
09 - execution.flac,Iced Earth,Framing Armageddon,9,Execution
10 - order of the rose.flac,Iced Earth,Framing Armageddon,10,Order of the Rose
11 - cataclysm.flac,Iced Earth,Framing Armageddon,11,Cataclysm
12 - the clouding.flac,Iced Earth,Framing Armageddon,12,The Clouding
13 - infiltrate and assimilate.flac,Iced Earth,Framing Armageddon,13,Infiltrate and Assimilate
14 - retribution through the ages.flac,Iced Earth,Framing Armageddon,14,Retribution Through the Ages
15 - something wicked part 2.flac,Iced Earth,Framing Armageddon,15,Something Wicked Part 2
16 - the domino decree.flac,Iced Earth,Framing Armageddon,16,The Domino Decree
17 - framing armageddon.flac,Iced Earth,Framing Armageddon,17,Framing Armageddon
18 - when stars collide born is he.flac,Iced Earth,Framing Armageddon,18,When Stars Collide Born Is He
19 - the awakening.flac,Iced Earth,Framing Armageddon,19,The Awakening
