filename,artist,album,trackNumber,title
01 - wolf.flac,Iced Earth,Horror Show,1,Wolf
02 - damien.flac,Iced Earth,Horror Show,2,Damien
03 - jack.flac,Iced Earth,Horror Show,3,Jack
04 - ghost of freedom.flac,Iced Earth,Horror Show,4,Ghost of Freedom
05 - imhotep pharaohs curse.flac,Iced Earth,Horror Show,5,Imhotep Pharaohs Curse
06 - jekyll and hyde.flac,Iced Earth,Horror Show,6,Jekyll and Hyde
07 - dragons child.flac,Iced Earth,Horror Show,7,Dragons Child
08 - transylvania.flac,Iced Earth,Horror Show,8,Transylvania
09 - frankenstein.flac,Iced Earth,Horror Show,9,Frankenstein
10 - dracula.flac,Iced Earth,Horror Show,10,Dracula
11 - the phantom opera ghost.flac,Iced Earth,Horror Show,11,The Phantom Opera Ghost
