filename,artist,album,trackNumber,title
01 - burning times.flac,Iced Earth,Something Wicked This Way Comes,1,Burning Times
02 - melancholy holy martyr.flac,Iced Earth,Something Wicked This Way Comes,2,Melancholy Holy Martyr
03 - disciples of the lie.flac,Iced Earth,Something Wicked This Way Comes,3,Disciples of the Lie
04 - watching over me.flac,Iced Earth,Something Wicked This Way Comes,4,Watching over Me
05 - stand alone.flac,Iced Earth,Something Wicked This Way Comes,5,Stand Alone
06 - consequences.flac,Iced Earth,Something Wicked This Way Comes,6,Consequences
07 - my own savior.flac,Iced Earth,Something Wicked This Way Comes,7,My Own Savior
08 - reaping stone.flac,Iced Earth,Something Wicked This Way Comes,8,Reaping Stone
09 - 1776.flac,Iced Earth,Something Wicked This Way Comes,9,1776
10 - blessed are you.flac,Iced Earth,Something Wicked This Way Comes,10,Blessed Are You
11 - prophecy.flac,Iced Earth,Something Wicked This Way Comes,11,Prophecy
12 - birth of the wicked.flac,Iced Earth,Something Wicked This Way Comes,12,Birth of the Wicked
13 - the coming curse.flac,Iced Earth,Something Wicked This Way Comes,13,The Coming Curse
