filename,artist,album,trackNumber,title
01 - dark saga.flac,Iced Earth,The Dark Saga,1,Dark Saga
02 - i died for you.flac,Iced Earth,The Dark Saga,2,I Died for You
03 - violate.flac,Iced Earth,The Dark Saga,3,Violate
04 - the hunter.flac,Iced Earth,The Dark Saga,4,The Hunter
05 - the last laugh.flac,Iced Earth,The Dark Saga,5,The Last Laugh
06 - depths of hell.flac,Iced Earth,The Dark Saga,6,Depths of Hell
07 - vengeance is mine.flac,Iced Earth,The Dark Saga,7,Vengeance Is Mine
08 - scarred.flac,Iced Earth,The Dark Saga,8,Scarred
09 - slave to the dark.flac,Iced Earth,The Dark Saga,9,Slave to the Dark
10 - a question of heaven.flac,Iced Earth,The Dark Saga,10,A Question of Heaven
