filename,artist,album,trackNumber,title
01 - the star spangled banner.flac,Iced Earth,The Glorious Burden (Disc 1),1,The Star Spangled Banner
02 - declaration day.flac,Iced Earth,The Glorious Burden (Disc 1),2,Declaration Day
03 - when the eagle cries.flac,Iced Earth,The Glorious Burden (Disc 1),3,When the Eagle Cries
04 - the reckoning dont tread on me.flac,Iced Earth,The Glorious Burden (Disc 1),4,The Reckoning Dont Tread on Me
05 - greenface.flac,Iced Earth,The Glorious Burden (Disc 1),5,Greenface
06 - attila.flac,Iced Earth,The Glorious Burden (Disc 1),6,Attila
07 - red baron blue max.flac,Iced Earth,The Glorious Burden (Disc 1),7,Red Baron Blue Max
08 - hollow man.flac,Iced Earth,The Glorious Burden (Disc 1),8,Hollow Man
09 - valley forge.flac,Iced Earth,The Glorious Burden (Disc 1),9,Valley Forge
10 - waterloo.flac,Iced Earth,The Glorious Burden (Disc 1),10,Waterloo
11 - when the eagle cries unplugged.flac,Iced Earth,The Glorious Burden (Disc 1),11,When the Eagle Cries Unplugged
